"LOUISIANA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LOUISIANA",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bossier","Bossier Police",148,,135,,91,,,68,,50,,,52721,,26,,10,,14,,(24),,,,,,,13,135,118,17,"Bossier","Bossier Police"
"Caddo","Caddo Parish Sheriff",472,,470,,100,,,109,,23,,,248253,,19,,13,,13,,100,,,,,,,2,417,416,1,"Caddo","Caddo Parish Sheriff"
"Caddo","Shreveport Police",575,,439,,76,,,434,,99,,,198525,,22,,20,,4,,139,,,,,,,136,478,421,57,"Caddo","Shreveport Police"
"Calcasieu","Calcasieu Parish Sheriff",496,,395,,80,,,75,,19,,,168134,,23,,23,,21,,31,,,,,,,101,404,327,77,"Calcasieu","Calcasieu Parish Sheriff"
"Calcasieu","Lake Charles Police",146,,145,,99,,,92,,63,,,70580,,21,,11,,12,,(67),,,,,,,1,132,129,3,"Calcasieu","Lake Charles Police"
"E. Baton Rouge","E. Baton Rouge Parish Sheriff",561,,561,,100,,,140,,25,,,219531,,26,,(14),,(14),,0,,,,,,,0,650,650,0,"E. Baton Rouge","E. Baton Rouge Parish Sheriff"
"E. Baton Rouge","Baton Rouge Police",856,,649,,76,,,335,,52,,,219531,,30,,20,,10,,67,,,,,,,207,715,591,124,"E. Baton Rouge","Baton Rouge Police"
"Jefferson","Jefferson Parish Sheriff",1267,,1267,,100,,,255,,20,,,448306,,28,,12,,12,,0,,,,,,,0,1136,1136,0,"Jefferson","Jefferson Parish Sheriff"
"Jefferson","Kenner Police",145,,119,,82,,,"      ---",,"      ---",,,72033,,17,,(5),,3,,(28),,,,,,,26,152,116,36,"Jefferson","Kenner Police"
"Lafayette","Lafayette Parish Sheriff",407,,407,,100,,,92,,23,,,164762,,25,,(8),,(8),,0,,,,,,,0,441,441,0,"Lafayette","Lafayette Parish Sheriff"
"Lafayette","Lafayette Police",216,,167,,77,,,155,,93,,,94440,,18,,(9),,(2),,(27),,,,,,,49,238,171,67,"Lafayette","Lafayette Police"
"Lafourche","Lafourche Parish Sheriff",206,,206,,100,,,75,,36,,,85860,,24,,16,,16,,0,,,,,,,0,177,177,0,"Lafourche","Lafourche Parish Sheriff"
"Livingston","Livingston Parish Sheriff",134,,134,,100,,,51,,38,,,70526,,19,,3,"*",3,"*",0,"*",,,,,,0,130,130,0,"Livingston","Livingston Parish Sheriff"
"Orleans","New Orleans Police",2051,,1551,,76,,,1403,,90,,,496938,,31,,22,,11,,73,,,,,,,500,1686,1397,289,"Orleans","New Orleans Police"
"Ouachita","Ouachita Parish Sheriff",236,,235,,100,,,68,,29,,,142191,,17,,9,,9,,0,,,,,,,1,216,216,0,"Ouachita","Ouachita Parish Sheriff"
"Ouachita","Monroe Police",234,,154,,66,,,122,,79,,,54909,,28,,31,,23,,51,,,,,,,80,178,125,53,"Ouachita","Monroe Police"
"Rapides","Rapides Parish Sheriff",262,,262,,100,,,78,,30,,,131556,,20,,15,,15,,0,,,,,,,0,228,228,0,"Rapides","Rapides Parish Sheriff"
"Rapides","Alexandria Police",160,,130,,81,,,68,,52,,,49188,,26,,7,,3,,25,,,,,,,30,150,126,24,"Rapides","Alexandria Police"
"St. Charles","St. Charles Parish Sheriff",211,,211,,100,,,69,,33,,,42437,,50,,13,,79,,(100),,,,,,,0,187,118,69,"St. Charles","St. Charles Parish Sheriff"
"St. John the Baptist","St. John the Baptist Sheriff",150,,147,,98,,,110,,75,,,39996,,37,,9,,9,,50,,,,,,,3,137,135,2,"St. John the Baptist","St. John the Baptist Sheriff"
"St. Tammany","St. Tammany Parish Sheriff",331,,331,,100,,,68,,21,,,144508,,23,,32,,32,,0,,,,,,,0,250,250,0,"St. Tammany","St. Tammany Parish Sheriff"
"Tangipahoa","Tangipahoa Parish Sheriff",218,,218,,100,,,106,,49,,,85709,,25,,12,,12,,0,,,,,,,0,195,195,0,"Tangipahoa","Tangipahoa Parish Sheriff"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"      Personnel   5",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 1a. - continued",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Table 1a. - continued",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,"  Officers assigned",,,,,,,"Officers",,"       Percent change in",,,,,,,,,,,,,,,,
,,"    Full-time employees, 1993",,,,,,,"  to respond to ",,,,," City or ",,"per",,"       number of full-time",,,,,,,,,,,,,,,,
,,,,"    Sworn officers",,,,,"  calls for service",,,,," county",,"10,000",,"       employees, 1990-93",,,,,,,,,,,,,,,,
"County","Name of agency","   Total",,"Number",,"Percent",,,"Number",,"Percent",,," population",,"residents",,"   Total",," Sworn",,"Civilian",,,,,,,"Civilian",,,,"County","Name of agency"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MAINE",,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,"MAINE",
,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,
"Cumberland","Portland Police",186,,141,,76,"%",,90,,64,"%",,64358,,22,,(7),"%",(2),"%",(20),"%",,,,,,45,200,144,56,"Cumberland","Portland Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MARYLAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MARYLAND",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anne Arundel","Anne Arundel County Police",736,,548,,74,,,493,,90,,,427239,,13,,5,,3,,10,,,,,,,188,703,532,171,"Anne Arundel","Anne Arundel County Police"
"Anne Arundel","Annapolis Police",163,,119,,73,,,73,,61,,,33187,,36,,7,,4,,16,,,,,,,44,152,114,38,"Anne Arundel","Annapolis Police"
"Baltimore(city)","Baltimore Police",3535,,2945,,83,,,1637,,56,,,736014,,40,,4,,3,,7,,,,,,,590,3414,2861,553,"Baltimore(city)","Baltimore Police"
"Baltimore(city)","Baltimore School Police",111,,104,,94,,,97,,93,,,"              -",,"         -",,(10),,(10),,0,,,,,,,7,123,116,7,"Baltimore(city)","Baltimore School Police"
"Baltimore","Baltimore County Police",1587,,1380,,87,,,659,,48,,,692134,,20,,(11),,(10),,(13),,,,,,,207,1778,1540,238,"Baltimore","Baltimore County Police"
"Charles","Charles County Sheriff",231,,127,,55,,,104,,82,,,101154,,13,,(1),,(5),,5,,,,,,,104,233,134,99,"Charles","Charles County Sheriff"
"Harford","Harford County Sheriff",242,,242,,100,,,72,,30,,,182132,,13,,(3),,(3),,0,,,,,,,0,249,249,0,"Harford","Harford County Sheriff"
"Howard","Howard County Police",281,,233,,83,,,150,,64,,,187328,,12,,(18),,(14),,(32),,,,,,,48,343,272,71,"Howard","Howard County Police"
"Montgomery","Montgomery County Police",1088,,839,,77,,,614,,73,,,757027,,11,,1,,(1),,7,,,,,,,249,1078,845,233,"Montgomery","Montgomery County Police"
"Prince George's ","Prince George's County Police",1472,,1155,,78,,,467,,40,,,729268,,16,,(5),,(5),,(8),,,,,,,317,1555,1211,344,"Prince George's ","Prince George's County Police"
"Prince George's ","Prince George's County Sheriff",281,,205,,73,,,96,,47,,,729268,,3,,10,,13,,4,,,,,,,76,255,182,73,"Prince George's ","Prince George's County Sheriff"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MASSACHUSETTS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MASSACHUSETTS",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bristol","New Bedford Police",301,,259,,86,,,159,,61,,,99922,,26,,8,,9,,0,,,,,,,42,279,237,42,"Bristol","New Bedford Police"
"Essex","Lawrence Police",112,,104,,93,,,60,,58,,,70207,,15,,(21),,(21),,(20),,,,,,,8,142,132,10,"Essex","Lawrence Police"
"Essex","Lynn Police",162,,144,,89,,,93,,65,,,81245,,18,,(5),,(5),,(5),,,,,,,18,171,152,19,"Essex","Lynn Police"
"Hampden","Chicopee Police",108,,104,,96,,,60,,58,,,56632,,18,,(14),,(13),,(20),,,,,,,4,125,120,5,"Hampden","Chicopee Police"
"Hampden","Holyoke Police",127,,120,,94,,,75,,63,,,43704,,27,,18,,20,,(13),,,,,,,7,108,100,8,"Hampden","Holyoke Police"
"Hampden","Springfield Police",537,,474,,88,,,279,,59,,,156983,,30,,12,,5,,110,,,,,,,63,480,450,30,"Hampden","Springfield Police"
"Middlesex","Cambridge Police",283,,251,,89,,,143,,57,,,95802,,26,,(6),,(7),,10,,,,,,,32,300,271,29,"Middlesex","Cambridge Police"
"Middlesex","Lowell Police",229,,162,,71,,,90,,56,,,103439,,16,,29,,(8),,"        x",,,,,,,67,177,177,0,"Middlesex","Lowell Police"
"Middlesex","Newton Police",195,,173,,89,,,149,,86,,,82585,,21,,(18),,(15),,(35),,,,,,,22,238,204,34,"Middlesex","Newton Police"
"Middlesex","Somerville Police",134,,124,,93,,,"      ---",,"      ---",,,76210,,16,,(1),,(8),,"        x",,,,,,,10,135,135,0,"Middlesex","Somerville Police"
"Middlesex","Waltham Police",146,,140,,96,,,102,,73,,,57878,,24,,(3),,(2),,(14),,,,,,,6,150,143,7,"Middlesex","Waltham Police"
"Norfolk","Brookline Police",147,,133,,90,,,118,,89,,,54718,,24,,(3),,(5),,27,,,,,,,14,151,140,11,"Norfolk","Brookline Police"
"Norfolk","Quincy Police",223,,194,,87,,,165,,85,,,84985,,23,,(4),,1,,(28),,,,,,,29,232,192,40,"Norfolk","Quincy Police"
"Plymouth","Brockton Police",170,,150,,88,,,113,,75,,,92788,,16,,(19),,(29),,"        x",,,,,,,20,211,211,0,"Plymouth","Brockton Police"
"Suffolk","Boston Police",2586,,1952,,75,,,"      ---",,"      ---",,,574283,,34,,(6),,(5),,(8),,,,,,,634,2741,2053,688,"Suffolk","Boston Police"
"Suffolk","Mass. Bay Transit Authority",188,,176,,94,,,128,,73,,,"              -",,"         -",,23,,25,,0,,,,,,,12,153,141,12,"Suffolk","Mass. Bay Transit Authority"
"Worcester ","Worcester Police",451,,357,,79,,,144,,40,,,169759,,21,,(5),,(9),,15,,,,,,,94,474,392,82,"Worcester ","Worcester Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"MICHIGAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"MICHIGAN",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"Calhoun","Battle Creek Police",167,,120,,72,,,74,,62,,,53540,,22,,6,,9,,0,,,,,,,47,157,110,47,"Calhoun","Battle Creek Police"
"Genesee","Flint Police",347,,296,,85,,,201,,68,,,140761,,21,,(8),,(5),,(24),,,,,,,51,378,311,67,"Genesee","Flint Police"
"Ingham","Lansing Police",333,,253,,76,,,127,,50,,,127321,,20,,(2),,1,,(12),,,,,,,80,341,250,91,"Ingham","Lansing Police"
"Kalamazoo","Kalamazoo Police",327,,246,,75,,,169,,69,,,80277,,31,,3,,3,,3,,,,,,,81,319,240,79,"Kalamazoo","Kalamazoo Police"
"Kent","Kent County Sheriff",444,,327,,74,,,77,,24,,,500631,,7,,31,,21,,75,,,,,,,117,338,271,67,"Kent","Kent County Sheriff"
"Kent","Grand Rapids Police",349,,277,,79,,,176,,64,,,189126,,15,,(3),,(1),,(10),,,,,,,72,359,279,80,"Kent","Grand Rapids Police"
"Macomb","Macomb County Sheriff",359,,165,,46,,,66,,40,,,717400,,2,,4,,1,,7,,,,,,,194,344,163,181,"Macomb","Macomb County Sheriff"
"Macomb","Sterling Heights Police",221,,166,,75,,,153,,92,,,117810,,14,,4,,4,,6,,,,,,,55,212,160,52,"Macomb","Sterling Heights Police"
"Macomb","Warren Police",266,,226,,85,,,162,,72,,,144864,,16,,(0),,(5),,33,,,,,,,40,267,237,30,"Macomb","Warren Police"
"Oakland ","Oakland County Sheriff",679,,573,,84,,,138,,24,,,1083592,,5,,1,,(0),,10,,,,,,,106,670,574,96,"Oakland ","Oakland County Sheriff"
"Oakland","Pontiac Police",195,,145,,74,,,78,,54,,,71166,,20,,(4),,(9),,14,,,,,,,50,203,159,44,"Oakland","Pontiac Police"
"Oakland","Southfield Police",201,,155,,77,,,104,,67,,,75728,,20,,(3),,(4),,(2),,,,,,,46,208,161,47,"Oakland","Southfield Police"
"Oakland","Troy Police",185,,132,,71,,,77,,58,,,72884,,18,,1,,1,,2,,,,,,,53,183,131,52,"Oakland","Troy Police"
"Saginaw","Saginaw Police",157,,142,,90,,,93,,65,,,69512,,20,,15,,16,,7,,,,,,,15,136,122,14,"Saginaw","Saginaw Police"
"Washtenaw","Washtenaw County Sheriff",245,,113,,46,,,60,,53,,,282937,,4,,17,,(39),,450,,,,,,,132,210,186,24,"Washtenaw","Washtenaw County Sheriff"
"Washtenaw","Ann Arbor Police",219,,179,,82,,,77,,43,,,109592,,16,,9,,5,,29,,,,,,,40,201,170,31,"Washtenaw","Ann Arbor Police"
"Wayne","Dearborn Police",214,,189,,88,,,114,,60,,,89286,,21,,(5),,(5),,(11),,,,,,,25,226,198,28,"Wayne","Dearborn Police"
"Wayne","Detroit Police",4367,,3861,,88,,,2859,,74,,,1027974,,38,,(16),,(16),,(17),,,,,,,506,5203,4595,608,"Wayne","Detroit Police"
"Wayne","Livonia Police",174,,153,,88,,,91,,59,,,100850,,15,,(6),,4,,(46),,,,,,,21,186,147,39,"Wayne","Livonia Police"
"Wayne","Taylor Police",131,,108,,82,,,56,,52,,,70811,,15,,2,,3,,(4),,,,,,,23,129,105,24,"Wayne","Taylor Police"
"Wayne","Westland Police",123,,116,,94,,,60,,52,,,84724,,14,,12,,25,,(59),,,,,,,7,110,93,17,"Wayne","Westland Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MINNESOTA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MINNESOTA",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hennepin","Minneapolis Police",1008,,850,,84,,,552,,65,,,368383,,23,,11,,5,,49,,,,,,,158,912,806,106,"Hennepin","Minneapolis Police"
"Ramsey","Ramsey County Sheriff",298,,248,,83,,,50,,20,,,485765,,5,,9,,8,,16,,,,,,,50,273,230,43,"Ramsey","Ramsey County Sheriff"
"Ramsey","St. Paul Police",737,,530,,72,,,285,,54,,,272235,,19,,3,,(0),,11,,,,,,,207,718,532,186,"Ramsey","St. Paul Police"
"St. Louis ","Duluth Police",154,,131,,85,,,80,,61,,,85493,,15,,6,,5,,15,,,,,,,23,145,125,20,"St. Louis ","Duluth Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MISSISSIPPI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MISSISSIPPI",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hinds","Jackson Police",748,,408,,55,,,326,,80,,,196637,,21,,64,,17,,224,,,,,,,340,455,350,105,"Hinds","Jackson Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"6   Law Enforcement Management and Administrative Statistics, 1993",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"6   Law Enforcement Management and Administrative Statistics, 1993",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"Table 1a. - continued",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"Table 1a. - continued",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,"  Officers assigned",,,,,,,"Officers",,"       Percent change in",,,,,,,,,,,,0,,,,
,,"    Full-time employees, 1993",,,,,,,"  to respond to ",,,,," City or ",,"per",,"       number of full-time",,,,,,,,,,,,0,,,,
,,,,"    Sworn officers",,,,,"  calls for service",,,,," county",,"10,000",,"       employees, 1990-93",,,,,,,,,,,,0,,,,
"County","Name of agency","   Total",,"Number",,"Percent",,,"Number",,"Percent",,," population",,"residents",,"   Total",," Sworn",,"Civilian",,,,,,,"Civilian",0,,,"County","Name of agency"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"MISSOURI",,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,0,,,"MISSOURI",
,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,0,,,,
"Boone","Columbia Police",133,,105,,79,"%",,66,,63,"%",,69101,,15,,6,"%",8,"%",0,"%",,,,,,28,125,97,28,"Boone","Columbia Police"
"Greene","Springfield Police",253,,201,,79,,,98,,49,,,140494,,14,,10,,13,,(2),,,,,,,52,231,178,53,"Greene","Springfield Police"
"Jackson","Independence Police",224,,159,,71,,,122,,77,,,112301,,14,,5,,3,,10,,,,,,,65,214,155,59,"Jackson","Independence Police"
"Jackson","Kansas City Police",1776,,1171,,66,,,595,,51,,,435146,,27,,3,,2,,6,,,,,,,605,1718,1148,570,"Jackson","Kansas City Police"
"Jefferson","Jefferson County Sheriff",175,,133,,76,,,59,,44,,,171380,,8,,6,,(8),,100,,,,,,,42,165,144,21,"Jefferson","Jefferson County Sheriff"
"St. Louis(city)","St. Louis Police",2170,,1510,,70,,,850,,56,,,396685,,38,,(3),,(2),,(6),,,,,,,660,2244,1544,700,"St. Louis(city)","St. Louis Police"
"St. Louis","St. Louis County Police",720,,517,,72,,,318,,62,,,993529,,5,,8,,11,,3,,,,,,,203,664,467,197,"St. Louis","St. Louis County Police"
,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,0,,,,
"MONTANA",,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,0,,,"MONTANA",
,,,,,,,,,,,,,,,," ",,,,,,,,,,,,,,0,,,,
"Yellowstone","Billings Police",129,,105,,81,,,67,,64,,,81151,,13,,1,,2,,(4),,,,,,,24,128,103,25,"Yellowstone","Billings Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"NEBRASKA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"NEBRASKA",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"Douglas","Omaha Police",777,,628,,81,,,368,,59,,,335795,,19,,5,,6,,1,,,,,,,149,741,594,147,"Douglas","Omaha Police"
"Lancaster","Lincoln Police",326,,246,,75,,,190,,77,,,191972,,13,,5,,3,,13,,,,,,,80,310,239,71,"Lancaster","Lincoln Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"NEVADA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"NEVADA",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"Clark","Las Vegas Metropolitan Police",2161,,1428,,66,,,604,,42,,,741459,,19,,21,,23,,18,,,,,,,733,1782,1162,620,"Clark","Las Vegas Metropolitan Police"
"Clark","North Las Vegas Police",163,,114,,70,,,"      ---",,"      ---",,,47707,,24,,(6),,(10),,7,,,,,,,49,173,127,46,"Clark","North Las Vegas Police"
"Washoe ","Washoe County Sheriff",478,,324,,68,,,67,,21,,,254667,,13,,(2),,1,,(9),,,,,,,154,490,321,169,"Washoe ","Washoe County Sheriff"
"Washoe","Reno Police",435,,288,,66,,,188,,65,,,133850,,22,,(6),,(4),,(11),,,,,,,147,465,299,166,"Washoe","Reno Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"NEW HAMPSHIRE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"NEW HAMPSHIRE",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"Hillsborough","Manchester Police",227,,176,,78,,,97,,55,,,99567,,18,,8,,6,,13,,,,,,,51,211,166,45,"Hillsborough","Manchester Police"
"Hillsborough","Nashua Police",179,,134,,75,,,87,,65,,,79662,,17,,(13),,(15),,(6),,,,,,,45,206,158,48,"Hillsborough","Nashua Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"NEW JERSEY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"NEW JERSEY",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"Atlantic","Atlantic City Police",522,,427,,82,,,220,,52,,,37986,,112,,(18),,0,,(55),,,,,,,95,636,425,211,"Atlantic","Atlantic City Police"
"Bergen","Hackensack Police",124,,110,,89,,,76,,69,,,37049,,30,,10,,1,,250,,,,,,,14,113,109,4,"Bergen","Hackensack Police"
"Camden","Camden County Sheriff",258,,225,,87,,,56,,25,,,502824,,4,,(54),,(48),,(76),,,,,,,33,567,429,138,"Camden","Camden County Sheriff"
"Camden","Camden Police",394,,329,,84,,,229,,70,,,87492,,38,,10,,13,,(2),,,,,,,65,357,291,66,"Camden","Camden Police"
"Camden","Cherry Hill Police",128,,124,,97,,,96,,77,,,69348,,18,,(12),,6,,(86),,,,,,,4,145,117,28,"Camden","Cherry Hill Police"
"Camden","Delaware River Port Authority",140,,140,,100,,,122,,87,,,"              -",,"         -",,0,,0,,0,,,,,,,0,140,140,0,"Camden","Delaware River Port Authority"
"Cumberland","Vineland Police",127,,127,,100,,,68,,54,,,54780,,23,,7,,19,,(100),,,,,,,0,119,107,12,"Cumberland","Vineland Police"
"Essex","Bloomfield Police",134,,113,,84,,,82,,73,,,45061,,25,,6,,8,,0,,,,,,,21,126,105,21,"Essex","Bloomfield Police"
"Essex","East Orange Police",296,,278,,94,,,165,,59,,,73552,,38,,16,,13,,64,,,,,,,18,256,245,11,"Essex","East Orange Police"
"Essex","Irvington Police",196,,163,,83,,,101,,62,,,61018,,27,,7,,1,,43,,,,,,,33,184,161,23,"Essex","Irvington Police"
"Essex","Newark Police",1300,,1106,,85,,,400,,36,,,275221,,40,,3,,9,,(21),,,,,,,194,1260,1013,247,"Essex","Newark Police"
"Hudson","Hudson County Sheriff",176,,131,,74,,,60,,46,,,553099,,2,,7,,(3),,55,,,,,,,45,164,135,29,"Hudson","Hudson County Sheriff"
"Hudson","Bayonne Police",196,,175,,89,,,"      ---",,"      ---",,,61444,,28,,13,,4,,320,,,,,,,21,174,169,5,"Hudson","Bayonne Police"
"Hudson","Hoboken Police",146,,133,,91,,,"      ---",,"      ---",,,33397,,40,,2,,2,,8,,,,,,,13,143,131,12,"Hudson","Hoboken Police"
"Hudson","Jersey City Police",1024,,819,,80,,,560,,68,,,228537,,36,,3,,(11),,159,,,,,,,205,997,918,79,"Hudson","Jersey City Police"
"Hudson","Kearny Police",130,,124,,95,,,54,,44,,,34874,,36,,(21),,(6),,(82),,,,,,,6,165,132,33,"Hudson","Kearny Police"
"Hudson","North Bergen Police",142,,118,,83,,,72,,61,,,48414,,24,,10,,6,,33,,,,,,,24,129,111,18,"Hudson","North Bergen Police"
"Hudson","Union City Police",184,,161,,88,,,105,,65,,,58012,,28,,1,,0,,10,,,,,,,23,182,161,21,"Hudson","Union City Police"
"Hudson","West New York Police",105,,105,,100,,,65,,62,,,38125,,28,,5,,5,,0,,,,,,,0,100,100,0,"Hudson","West New York Police"
"Mercer","Hamilton Township Police",201,,172,,86,,,130,,76,,,86553,,20,,3,,1,,16,,,,,,,29,195,170,25,"Mercer","Hamilton Township Police"
"Mercer","Trenton Police",428,,372,,87,,,195,,52,,,88675,,42,,2,,4,,(11),,,,,,,56,421,358,63,"Mercer","Trenton Police"
"Middlesex","Edison Police",232,,184,,79,,,112,,61,,,88680,,21,,15,,4,,92,,,,,,,48,202,177,25,"Middlesex","Edison Police"
"Middlesex","New Brunswick Police",141,,114,,81,,,70,,61,,,41711,,27,,(8),,(8),,(10),,,,,,,27,154,124,30,"Middlesex","New Brunswick Police"
"Middlesex","Perth Amboy Police",148,,117,,79,,,73,,62,,,41967,,28,,18,,1,,244,,,,,,,31,125,116,9,"Middlesex","Perth Amboy Police"
"Middlesex","Woodbridge Police",221,,195,,88,,,"      ---",,"      ---",,,93086,,21,,11,,13,,(4),,,,,,,26,200,173,27,"Middlesex","Woodbridge Police"
"Morris","Parsippany-Troy Hills Police",140,,113,,81,,,81,,72,,,48478,,23,,2,,0,,13,,,,,,,27,137,113,24,"Morris","Parsippany-Troy Hills Police"
"Ocean","Dover Township Police",156,,126,,81,,,89,,71,,,76371,,16,,(12),,(8),,(25),,,,,,,30,177,137,40,"Ocean","Dover Township Police"
"Passaic","Clifton Police",150,,133,,89,,,79,,59,,,71742,,19,,(9),,(6),,(26),,,,,,,17,165,142,23,"Passaic","Clifton Police"
"Passaic","Passaic Police",150,,136,,91,,,96,,71,,,58041,,23,,5,,2,,40,,,,,,,14,143,133,10,"Passaic","Passaic Police"
"Passaic","Paterson Police",403,,365,,91,,,284,,78,,,140891,,26,,5,,4,,19,,,,,,,38,384,352,32,"Passaic","Paterson Police"
"Union","Elizabeth Police",404,,322,,80,,,"      ---",,"      ---",,,110002,,29,,10,,9,,17,,,,,,,82,366,296,70,"Union","Elizabeth Police"
"Union","Linden Police",138,,122,,88,,,90,,74,,,36701,,33,,0,,(2),,14,,,,,,,16,138,124,14,"Union","Linden Police"
"Union","Plainfield Police",188,,146,,78,,,90,,62,,,46567,,31,,14,,16,,8,,,,,,,42,165,126,39,"Union","Plainfield Police"
"Union","Union Township Police",162,,113,,70,,,62,,55,,,50024,,23,,7,,(1),,29,,,,,,,49,152,114,38,"Union","Union Township Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"NEW MEXICO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"NEW MEXICO",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"Bernalillo","Bernalillo County Sheriff",296,,206,,70,,,120,,58,,,480577,,4,,(5),,(3),,(8),,,,,,,90,311,213,98,"Bernalillo","Bernalillo County Sheriff"
"Bernalillo","Albuquerque Police",1158,,809,,70,,,436,,54,,,384736,,21,,(2),,0,,(7),,,,,,,349,1184,808,376,"Bernalillo","Albuquerque Police"
"Dona Ana","Las Cruces Police",149,,116,,78,,,82,,71,,,62126,,19,,16,,9,,43,,,,,,,33,129,106,23,"Dona Ana","Las Cruces Police"
"Santa Fe ","Santa Fe Police",167,,121,,72,,,109,,90,,,55859,,22,,(5),,5,,(23),,,,,,,46,175,115,60,"Santa Fe ","Santa Fe Police"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,"      Personnel   7",,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"Table 1a. - continued",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"Table 1a. - continued",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
,,,,,,,,,"  Officers assigned",,,,,,,"Officers",,"       Percent change in",,,,,,,,,,,,0,,,,
,,"    Full-time employees, 1993",,,,,,,"  to respond to ",,,,," City or ",,"per",,"       number of full-time",,,,,,,,,,,,0,,,,
,,,,"    Sworn officers",,,,,"  calls for service",,,,," county",,"10,000",,"       employees, 1990-93",,,,,,,,,,,,0,,,,
"County","Name of agency","   Total",,"Number",,"Percent",,,"Number",,"Percent",,," population",,"residents",,"   Total",," Sworn",,"Civilian",,,,,,,"Civilian",0,,,"County","Name of agency"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
"NEW YORK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,"NEW YORK",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
