,,,,,,,,,,,,,,,,
"LEMA938.csv//Report: Law Enforcement Management and Administrative Statistics, 1993",,,,,,,,,,,,,,,,
"Sources:  Law Enforcement Management and Administrative Statistics, 1993//BJS Contact: Brian Reaves, Ph.D., (202) 616-3287//reaves@justice. usdoj.gov",,,,,,,,,,,,,,,,
"Table 8a.  Starting salaries, collective bargaining, types of special pay, and officer membership organizations",,,,,,,,,,,,,,,,
"in local law enforcement agencies, 1993",,,,,,,,,,,,,,,,
,,,,,,"Agencies authorizing",,,,"Types of ",,"          Agencies authorizing ",,,,
"Rockland","Ramapo Police",$105115,,$33760,,"X",,"X",,"S",,"-",,"-",,"X"
"Schenectady ","Schenectady Police",$50000,,$24026,,"X",,"-",,"-",,"-",,"X",,"-"
"Suffolk","Suffolk County Police",$94355,,$29466,,"X",,"X",,"H,S",,"-",,"X",,"X"
"Suffolk","Suffolk County Sheriff",$88417,,$25000,,"X",,"X",,"S",,"-",,"X",,"X"
"Westchester","Westchester County Police",$79605,,$33595,,"X",,"X",,"H,S,E",,"-",,"X",,"-"
"Westchester","Mt. Vernon Police",$66634,,$23092,,"X",,"X",,"-",,"-",,"-",,"X"
"Westchester","New Rochelle Police",$86668,,$30337,,"X",,"X",,"E",,"-",,"X",,"X"
"Westchester","White Plains Police",$79811,,$25544,,"X",,"X",,"S",,"-",,"X",,"-"
"Westchester","Yonkers Police",$86959,,$31633,,"X",,"X",,"S,E",,"-",,"-",,"X"
,,,,,,,,,,,,,,,,
"NORTH CAROLINA",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Buncombe","Buncombe County Sheriff",$49270,,$19084,,"-",,"-",,"-",,"-",,"-",,"-"
"Buncombe","Asheville Police",$52000,,$18900,,"-",,"-",,"M",,"-",,"-",,"-"
"Cumberland","Cumberland County Sheriff",$65792,,$20477,,"-",,"-",,"-",,"-",,"-",,"-"
"Cumberland","Fayetteville Police",$48243,,$20048,,"-",,"-",,"E,M",,"-",,"-",,"-"
"Durham","Durham County Sheriff",$47402,,$23741,,"-",,"-",,"M",,"-",,"X",,"-"
"Durham","Durham Police",$52589,,$23091,,"-",,"-",,"M",,"-",,"X",,"-"
"Forsyth","Winston-Salem Police",$52021,,$22048,,"-",,"-",,"M",,"-",,"-",,"-"
"Gaston","Gastonia Police",$41392,,$20696,,"-",,"-",,"E,M",,"-",,"X",,"X"
"Guilford","Greensboro Police",$59352,,$21576,,"-",,"-",,"E,M",,"X",,"-",,"-"
"Guilford","High Point Police",$45329,,$19576,,"-",,"-",,"E",,"-",,"-",,"-"
"Mecklenburg","Charlotte Police",$59177,,$21000,,"-",,"-",,"-",,"-",,"-",,"-"
"Nash","Rocky Mount Police",$50793,,$20342,,"-",,"-",,"E,M",,"-",,"X",,"-"
"New Hanover","Wilmington Police",$42116,,$20079,,"-",,"-",,"-",,"-",,"-",,"X"
"Pitt","Greenville Police",$46009,,$20196,,"-",,"-",,"M",,"-",,"-",,"X"
"Wake","Raleigh Police",$56400,,$23450,,"-",,"-",,"M",,"-",,"-",,"X"
,,,,,,,,,,,,,,,,
"OHIO",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Butler","Hamilton Police",$57239,,$20438,,"X",,"X",,"M",,"-",,"X",,"-"
"Clark","Springfield Police",$61963,,$24910,,"X",,"-",,"S,M",,"-",,"X",,"X"
"Cuyahoga","Cleveland Police",$69682,,$29402,,"X",,"X",,"H,S",,"-",,"X",,"-"
"Franklin","Franklin County Sheriff",$55764,,$21881,,"X",,"X",,"S",,"-",,"X",,"-"
"Franklin","Columbus Police",$91332,,$23171,,"X",,"X",,"S,M",,"-",,"X",,"-"
"Hamilton","Hamilton County Sheriff",$55780,,$18188,,"X",,"X",,"-",,"X",,"X",,"X"
"Hamilton","Cincinnati Police",$83029,,$33616,,"X",,"X",,"S",,"-",,"X",,"-"
"Lucas","Toledo Police",$60000,,$31196,,"X",,"X",,"S,E",,"-",,"X",,"-"
"Mahoning","Youngstown Police",$55000,,$22074,,"X",,"X",,"H,S,E",,"-",,"X",,"-"
"Montgomery","Montgomery County Sheriff",$55972,,$30305,,"X",,"X",,"H,E,M",,"-",,"X",,"-"
"Montgomery","Dayton Police",$55000,,$29746,,"X",,"X",,"S,E,M",,"-",,"X",,"-"
"Stark","Canton Police",$50612,,$23099,,"X",,"X",,"H,S",,"-",,"X",,"X"
"Summit","Summit County Sheriff",$41990,,$23970,,"X",,"X",,"-",,"-",,"X",,"X"
"Summit","Akron Police",$63044,,$28683,,"X",,"X",,"-",,"-",,"X",,"-"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"92   Law Enforcement Management and Administrative Statistics, 1993",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Table 8a. - continued",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,"Agencies authorizing",,,,"Types of ",,"          Departments authorizing ",,,,
,,"Base annual starting salary",,,,"collective bargaining for:",,,,"special pay",,"          officer membership in:",,,,
,,"     Chief or",,"  Entry-level",," Sworn",," Civilian",,"authorized",,"  Nonpolice",,"Police",," Police"
"County","Name of agency","     Sheriff",,"  officer",," employees",," employees",,"for officers",,"  union",,"union",," association"
,,,,,,,,,,,,,,,,
"OKLAHOMA",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Cleveland","Norman Police",$52439,,$19520,,"X",,"X",,"E,M",,"-",,"X",,"-"
"Comanche","Lawton Police",$55000,,$18000,,"X",,"-",,"E",,"-",,"X",,"-"
"Oklahoma","Oklahoma City Police",$74478,,$25390,,"X",,"X",,"E,M",,"-",,"X",,"-"
"Tulsa ","Tulsa County Sheriff",$66000,,$15120,,"-",,"-",,"M",,"-",,"X",,"X"
"Tulsa","Tulsa Police",$63768,,$23904,,"X",,"-",,"E",,"-",,"X",,"-"
,,,,,,,,,,,,,,,,
"OREGON",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Clackamas","Clackamas County Sheriff",$55865,,$22076,,"X",,"X",,"E,M",,"-",,"X",,"-"
"Lane ","Lane County Sheriff",$65644,,$29453,,"X",,"X",,"E,M",,"-",,"X",,"-"
"Lane ","Eugene Police",$50436,,$29040,,"X",,"X",,"H,E",,"-",,"-",,"X"
"Marion","Salem Police",$71988,,$30192,,"X",,"X",,"H,E",,"-",,"X",,"X"
"Multnomah","Portland Police",$69971,,$30680,,"X",,"X",,"H,E",,"-",,"-",,"X"
"Washington","Washington County Sheriff",$75492,,$26184,,"X",,"-",,"H,E,M",,"-",,"X",,"-"
,,,,,,,,,,,,,,,,
"PENNSYLVANIA",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Allegheny","Allegheny County Police",$68600,,$23500,,"X",,"-",,"-",,"-",,"-",,"X"
"Allegheny","Pittsburgh Police",$65690,,$25498,,"X",,"X",,"S,M",,"X",,"X",,"-"
"Berks","Reading Police",$53420,,$28974,,"X",,"X",,"H,S",,"-",,"X",,"-"
"Dauphin","Harrisburg Police",$40055,,$28221,,"X",,"X",,"S,E",,"-",,"X",,"-"
"Erie","Erie Police",$43091,,$23946,,"X",,"X",,"S,E",,"-",,"X",,"-"
"Lackawanna","Scranton Police",$34000,,$30500,,"X",,"-",,"E",,"-",,"X",,"-"
"Lancaster","Lancaster Police",$56810,,$26698,,"X",,"X",,"S,E",,"-",,"X",,"-"
"Lehigh","Allentown Police",$50440,,$23964,,"X",,"X",,"S,E",,"-",,"X",,"-"
"Montgomery","Lower Merion Township Police",$65995,,$24000,,"X",,"-",,"S",,"-",,"X",,"-"
"Philadelphia","Philadelphia Police",$80750,,$25010,,"X",,"X",,"H,S",,"-",,"X",,"-"
"Philadelphia","Philadelphia Housing Police",$70000,,$24000,,"X",,"-",,"S,M",,"-",,"X",,"-"
"Philadelphia","S.E. Penn. Transit Authority",$50000,,$29639,,"X",,"-",,"S",,"-",,"-",,"-"
,,,,,,,,,,,,,,,,
"RHODE ISLAND",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Kent ","Warwick Police",$57734,,$20529,,"X",,"X",,"S,E",,"-",,"X",,"-"
"Providence","Cranston Police",$60220,,$28879,,"X",,"X",,"E",,"-",,"X",,"-"
"Providence","Pawtucket Police",$47000,,$25116,,"X",,"X",,"E",,"-",,"-",,"X"
"Providence","Providence Police",$63536,,$30987,,"X",,"-",,"S,E",,"-",,"X",,"-"
,,,,,,,,,,,,,,,,
"SOUTH CAROLINA",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Beaufort","Beaufort County Sheriff",$42000,,$18500,,"-",,"-",,"E",,"-",,"-",,"X"
"Charleston","Charleston County Sheriff",$67537,,$20238,,"-",,"-",,"H,E,M",,"-",,"X",,"-"
"Charleston","Charleston Police",$60000,,$21738,,"-",,"-",,"E",,"-",,"X",,"X"
"Charleston","North Charleston Police",$50000,,$17484,,"-",,"-",,"M",,"-",,"-",,"X"
"Greenville","Greenville County Sheriff",$59456,,$19767,,"-",,"-",,"E",,"-",,"-",,"-"
"Greenville","Greenville Police",$41350,,$18491,,"-",,"-",,"-",,"-",,"-",,"X"
"Horry","Horry County Police",$37549,,$18975,,"-",,"-",,"-",,"-",,"X",,"X"
"Lexington","Lexington County Sheriff",$39427,,$18863,,"-",,"-",,"-",,"-",,"-",,"X"
"Richland","Richland County Sheriff",$60000,,$19700,,"-",,"-",,"-",,"-",,"-",,"-"
"Richland","Columbia Police",$50965,,$21761,,"-",,"-",,"E,M",,"-",,"-",,"X"
"Spartanburg","Spartanburg County Sheriff",$58000,,$20000,,"-",,"-",,"-",,"-",,"-",,"X"
"Spartanburg","Spartanburg Police",$48505,,$23150,,"-",,"-",,"-",,"-",,"-",,"X"
,,,,,,,,,,,,,,,,
"SOUTH DAKOTA",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Minnehaha","Sioux Falls Police",$58286,,$25411,,"X",,"X",,"S",,"X",,"-",,"-"
,,,,,,,,,,,,,,,,
"TENNESSEE",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Davidson","Nashville Metropolitan Police",$66841,,$25247,,"X",,"X",,"S,E",,"-",,"X",,"-"
"Hamilton","Hamilton County Sheriff",$77898,,$18847,,"-",,"-",,"E,M",,"X",,"-",,"-"
"Hamilton","Chattanooga Police",$47516,,$19317,,"-",,"-",,"-",,"X",,"X",,"X"
"Knox","Knox County Sheriff",$81580,,$17810,,"-",,"-",,"H,M",,"-",,"-",,"X"
"Knox","Knoxville Police",$54763,,$18939,,"-",,"-",,"-",,"-",,"X",,"-"
"Madison","Jackson Police",$49587,,$19926,,"-",,"-",,"-",,"X",,"-",,"X"
"Montgomery","Clarksville Police",$42492,,$19175,,"-",,"-",,"E",,"-",,"-",,"-"
"Shelby","Shelby County Sheriff",$86000,,$19512,,"X",,"X",,"H,S,E",,"X",,"X",,"X"
"Shelby","Memphis Police",$74360,,$21159,,"X",,"X",,"H,S,E",,"-",,"-",,"X"
"Washington","Johnson City Police",$35602,,$18580,,"-",,"-",,"H,M",,"-",,"X",,"X"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"            Expenditures and pay   93",,,,
,,,,,,,,,,,,,,,,
"Table 8a. - continued",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,"Agencies authorizing",,,,"Types of ",,"          Departments authorizing ",,,,
,,"Base annual starting salary",,,,"collective bargaining for:",,,,"special pay",,"          officer membership in:",,,,
,,"     Chief or",,"  Entry-level",," Sworn",," Civilian",,"authorized",,"  Nonpolice",,"Police",," Police"
"County","Name of agency","     Sheriff",,"  officer",," employees",," employees",,"for officers",,"  union",,"union",," association"
,,,,,,,,,,,,,,,,
"TEXAS",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Bell","Killeen Police",$36972,,$22896,,"-",,"-",,"S,E",,"-",,"X",,"X"
"Bexar","Bexar County Sheriff",$63000,,$19000,,"-",,"-",,"S,M",,"-",,"X",,"X"
"Bexar","San Antonio Police",$60120,,$22980,,"X",,"-",,"H,S,E",,"-",,"-",,"X"
"Brazoria","Brazoria County Sheriff",$54072,,$24792,,"-",,"-",,"-",,"-",,"-",,"X"
"Cameron","Brownsville Police",$56000,,$19523,,"X",,"-",,"E",,"-",,"-",,"X"
"Collin","Plano Police",$75000,,$29022,,"-",,"-",,"-",,"-",,"-",,"X"
"Dallas ","Carrollton Police",$69625,,$28787,,"-",,"-",,"E",,"-",,"-",,"-"
"Dallas","Dallas Police",$90952,,$25093,,"-",,"-",,"S,E,M",,"X",,"X",,"X"
"Dallas","Dallas-Ft. Worth Airport Police",$51360,,$28417,,"-",,"-",,"E,M",,"-",,"-",,"X"
"Dallas","Garland Police",$54891,,$27227,,"-",,"-",,"E",,"-",,"-",,"X"
"Dallas","Grand Prairie Police","           ---",,$25782,,"-",,"-",,"E",,"-",,"X",,"X"
"Dallas","Irving Police",$55800,,$22940,,"-",,"-",,"E",,"X",,"-",,"X"
"Dallas","Mesquite Police","           ---",,$27888,,"-",,"-",,"E",,"X",,"-",,"X"
"Dallas","Richardson Police",$65000,,$26400,,"-",,"-",,"-",,"-",,"-",,"-"
"Denton","Denton Police",$59720,,$23910,,"-",,"-",,"E",,"-",,"-",,"X"
"Ector","Odessa Police",$59700,,$21600,,"-",,"-",,"E",,"X",,"X",,"-"
"El Paso","El Paso County Sheriff",$75500,,$23366,,"X",,"-",,"E",,"-",,"-",,"X"
"El Paso","El Paso Police",$76952,,$23493,,"X",,"-",,"H,S,E",,"-",,"X",,"-"
"Fort Bend","Fort Bend County Sheriff",$52380,,$25532,,"-",,"-",,"M",,"-",,"-",,"-"
"Galveston ","Galveston County Sheriff","           ---",,$22680,,"-",,"-",,"-",,"-",,"-",,"-"
"Galveston","Galveston Police",$55000,,$20000,,"X",,"-",,"H,S,E",,"-",,"-",,"X"
"Gregg","Longview Police",$47087,,$22639,,"-",,"-",,"M",,"-",,"-",,"X"
"Harris","Harris County Sheriff",$89772,,$28488,,"-",,"-",,"E,M",,"X",,"X",,"X"
"Harris","Baytown Police",$55000,,$23452,,"-",,"-",,"-",,"-",,"-",,"X"
"Harris","Houston Police",$63908,,$25786,,"-",,"-",,"H,E",,"X",,"X",,"X"
"Harris","Pasadena Police",$57867,,$28271,,"-",,"-",,"E",,"-",,"X",,"X"
"Hidalgo","McAllen Police",$65000,,$26957,,"-",,"-",,"H,E",,"-",,"X",,"-"
"Jefferson","Beaumont Police",$51000,,$24704,,"X",,"-",,"E,M",,"-",,"X",,"X"
"Jefferson","Port Arthur Police",$48443,,$25464,,"X",,"-",,"E",,"-",,"-",,"X"
"Lubbock","Lubbock Police",$50775,,$24653,,"-",,"-",,"E",,"-",,"-",,"X"
"McLennan","Waco Police",$48628,,$20628,,"-",,"-",,"E",,"-",,"-",,"X"
"Midland","Midland Police",$57000,,$22000,,"-",,"-",,"E,M",,"-",,"X",,"-"
"Montgomery","Montgomery County Sheriff",$47700,,$21000,,"-",,"-",,"M",,"-",,"X",,"-"
"Nueces","Corpus Christi Police",$52900,,$26808,,"X",,"-",,"H,S,E,M",,"-",,"X",,"X"
"Potter","Amarillo Police",$50604,,$20940,,"-",,"-",,"S,E",,"-",,"-",,"X"
"Smith","Tyler Police",$52800,,$22092,,"-",,"-",,"E",,"-",,"-",,"X"
"Tarrant","Tarrant County Sheriff",$46704,,$19080,,"-",,"-",,"S",,"-",,"-",,"-"
"Tarrant","Arlington Police",$65250,,$28200,,"-",,"-",,"S,E",,"-",,"-",,"X"
"Tarrant","Fort Worth Police",$56328,,$25824,,"-",,"-",,"S,E",,"-",,"-",,"X"
"Taylor","Abilene Police",$59861,,$20460,,"-",,"-",,"E",,"-",,"-",,"X"
"Tom Green","San Angelo Police",$49644,,$21732,,"-",,"-",,"E",,"-",,"X",,"X"
"Travis","Travis County Sheriff",$77973,,$22734,,"-",,"-",,"M",,"-",,"-",,"X"
"Travis","Austin Police","           ---",,$23385,,"-",,"-",,"E",,"-",,"-",,"X"
"Webb","Laredo Police",$52642,,$19947,,"X",,"-",,"E",,"X",,"-",,"X"
"Wichita","Wichita Falls Police",$52306,,$26040,,"-",,"-",,"E",,"-",,"-",,"X"
,,,,,,,,,,,,,,,,
"UTAH",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Salt Lake","Salt Lake County Sheriff",$69192,,$23088,,"-",,"-",,"E,M",,"X",,"X",,"-"
"Salt Lake","Salt Lake City Police",$83000,,$22000,,"X",,"-",,"E",,"-",,"X",,"-"
"Weber","Ogden Police",$48000,,$19200,,"X",,"X",,"-",,"-",,"X",,"X"
,,,,,,,,,,,,,,,,
"VIRGINIA",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Alexandria(city)","Alexandria Police",$62448,,$28695,,"-",,"-",,"H,S",,"-",,"X",,"X"
"Arlington","Arlington County Police",$65037,,$30723,,"-",,"-",,"S",,"-",,"X",,"X"
"Chesapeake(city)","Chesapeake Police",$50227,,$22741,,"-",,"-",,"E",,"-",,"-",,"-"
"Chesterfield","Chesterfield County Police",$61013,,$24628,,"-",,"-",,"-",,"-",,"X",,"-"
"Fairfax","Fairfax County Police",$72085,,$26772,,"-",,"-",,"S,M",,"-",,"X",,"X"
"Hampton(city)","Hampton Police",$80000,,$19040,,"-",,"-",,"E,M",,"-",,"-",,"-"
"Henrico","Henrico County Police",$59356,,$25524,,"-",,"-",,"E,M",,"-",,"X",,"-"
"Loudoun","Loudoun County Sheriff",$70577,,$24510,,"-",,"-",,"E",,"-",,"-",,"-"
"Lynchburg(city)","Lynchburg Police",$46758,,$19822,,"-",,"-",,"E",,"-",,"X",,"X"
"Newport News(city)","Newport News Police",$36000,,$21250,,"-",,"-",,"E,M",,"-",,"-",,"X"
"Norfolk(city)","Norfolk Police",$58804,,$23270,,"-",,"-",,"E",,"X",,"X",,"-"
"Portsmouth(city)","Portsmouth Police",$47320,,$20425,,"-",,"-",,"H,E,M",,"-",,"X",,"-"
"Prince William","Prince William County Police",$59545,,$27481,,"-",,"-",,"S,E,M",,"-",,"-",,"X"
"Richmond(city)","Richmond City Police",$58890,,$26702,,"-",,"-",,"S,E",,"-",,"X",,"X"
"Roanoke(city)","Roanoke City Police",$46934,,$22222,,"-",,"-",,"-",,"-",,"X",,"-"
"Virginia Beach(city)","Virginia Beach Police","           ---",,$22781,,"-",,"-",,"E,M",,"-",,"X",,"-"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"94   Law Enforcement Management and Administrative Statistics, 1993",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Table 8a. - continued",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,"Agencies authorizing",,,,"Types of ",,"          Departments authorizing ",,,,
,,"Base annual starting salary",,,,"collective bargaining for:",,,,"special pay",,"          officer membership in:",,,,
,,"     Chief or",,"  Entry-level",," Sworn",," Civilian",,"authorized",,"  Nonpolice",,"Police",," Police"
"County","Name of agency","     Sheriff",,"  officer",," employees",," employees",,"for officers",,"  union",,"union",," association"
,,,,,,,,,,,,,,,,
"WASHINGTON",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Clark","Clark County Sheriff",$64824,,$28560,,"X",,"X",,"S",,"X",,"-",,"-"
"King","King Co. Dept. of Public Safety",$94521,,$30943,,"X",,"X",,"H,E",,"-",,"-",,"-"
"King","Bellevue Police",$65000,,$31788,,"X",,"-",,"E",,"-",,"-",,"X"
"King ","Seattle Police",$85715,,$37480,,"X",,"X",,"-",,"-",,"-",,"-"
"Pierce","Pierce County Sheriff",$68224,,$32676,,"X",,"X",,"H,M",,"-",,"X",,"X"
"Pierce","Tacoma Police",$73028,,$30284,,"X",,"X",,"H",,"X",,"X",,"-"
"Snohomish","Snohomish County Sheriff",$70201,,$30561,,"X",,"X",,"H,S,E",,"-",,"-",,"X"
"Snohomish","Everett Police",$64284,,$35520,,"X",,"X",,"H,E",,"-",,"-",,"X"
"Spokane ","Spokane County Sheriff",$80126,,$29970,,"X",,"X",,"-",,"-",,"-",,"-"
"Spokane","Spokane Police",$63099,,$25682,,"X",,"X",,"H",,"X",,"-",,"-"
"Yakima","Yakima Police",$55800,,$30876,,"X",,"X",,"H,S,E",,"-",,"-",,"X"
,,,,,,,,,,,,,,,,
"WEST VIRGINIA",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Kanawha","Charleston Police",$44495,,$21659,,"-",,"-",,"E",,"-",,"X",,"-"
,,,,,,,,,,,,,,,,
"WISCONSIN",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Brown","Brown County Sheriff",$56867,,$27000,,"X",,"X",,"S,E",,"-",,"X",,"-"
"Brown","Green Bay Police",$49500,,$25700,,"X",,"X",,"S,E",,"-",,"X",,"-"
"Dane","Dane County Sheriff",$67372,,$25824,,"X",,"X",,"S,E,M",,"-",,"X",,"X"
"Dane ","Madison Police",$86100,,$29873,,"X",,"X",,"S,E",,"-",,"-",,"X"
"Kenosha","Kenosha Police",$48720,,$29004,,"X",,"X",,"S,E",,"-",,"-",,"X"
"Milwaukee","Milwaukee Police",$73427,,$26955,,"X",,"X",,"H,E",,"-",,"X",,"X"
"Milwaukee","West Allis Police",$50905,,$24667,,"X",,"X",,"-",,"-",,"X",,"X"
"Racine","Racine County Sheriff",$57000,,$24894,,"X",,"X",,"E",,"-",,"-",,"X"
"Racine","Racine Police",$52500,,$29516,,"X",,"X",,"E",,"-",,"X",,"X"
"Waukesha","Waukesha County Sheriff",$50542,,$25632,,"X",,"X",,"E",,"X",,"-",,"X"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Note:  Nonpolice union category includes local affiliates of national nonpolice unions, and local unaffiliated unions.",,,,,,,,,,,,,,,,
"Police union category includes national and local police unions.  Police association category includes local and",,,,,,,,,,,,,,,,
"regional police associations.  Special pay authorization refers to full-time sworn personnel only.",,,,,,,,,,,,,,,,
"The codes for types of special pay are as follows:",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"""H""=Hazardous duty pay",,,,,,,,,,,,,,,
,"""S""=Shift differential pay",,,,,,,,,,,,,,,
,"""E""=Educational incentive pay",,,,,,,,,,,,,,,
,"""M""=Merit pay",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"---Data were not provided by an agency.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"            Expenditures and pay   95",,,,
,,,,,,,,,,,,,,,,
"Table 8b.  Starting salaries, collective bargaining, types of special pay, and officer membership organizations",,,,,,,,,,,,,,,,
"in State law enforcement agencies, 1993",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,"Agencies authorizing",,,,"Types of ",,"          Agencies authorizing ",,,,
,,"Base annual starting salary",,,,"collective bargaining for:",,,,"special pay",,"          officer membership in:",,,,
,,"   Chief ",,"  Entry-level",," Sworn",," Civilian",,"authorized",,"  Nonpolice",,"Police",," Police"
"Name of agency",,"   executive",,"  officer",," employees",," employees",,"for officers",,"  union",,"union",," association"
,,,,,,,,,,,,,,,,
"Alabama Department of Public Safety",,$61073,,$21130,,"-",,"-",,"-",,"-",,"-",,"X"
"Alaska State Troopers",,$67800,,$42192,,"X",,"X",,"H,S,M",,"-",,"-",,"X"
"Arizona Department of Public Safety",,$77141,,$26391,,"-",,"-",,"-",,"-",,"-",,"X"
"Arkansas State Police",,$62859,,$21346,,"-",,"-",,"M",,"-",,"-",,"X"
"California Highway Patrol",,$101343,,$35016,,"X",,"X",,"S,M",,"-",,"-",,"X"
"Colorado State Patrol",,$50508,,$25512,,"-",,"-",,"-",,"-",,"-",,"-"
"Connecticut State Police",,$63246,,$27346,,"X",,"X",,"H,S,E,M",,"-",,"-",,"-"
"Delaware State Police",,$72700,,$29080,,"X",,"-",,"H,S,E",,"X",,"-",,"-"
"Florida Highway Patrol",,$45000,,$19836,,"X",,"X",,"E",,"-",,"-",,"X"
"Georgia State Police",,$29640,,$21336,,"-",,"-",,"H,S",,"-",,"-",,"-"
"Idaho State Police",,$49795,,$20654,,"-",,"-",,"S,M",,"-",,"-",,"X"
"Illinois State Police",,$72775,,$27708,,"X",,"X",,"-",,"-",,"-",,"-"
"Indiana State Police",,$54574,,$22672,,"X",,"X",,"M",,"-",,"-",,"-"
"Iowa State Patrol",,$58032,,$27914,,"X",,"X",,"S",,"-",,"-",,"X"
"Kansas Highway Patrol",,"            ---",,$24504,,"-",,"-",,"S",,"-",,"-",,"X"
"Kentucky State Police",,$50000,,$20556,,"-",,"-",,"-",,"-",,"-",,"X"
"Louisiana State Police",,$52000,,$19308,,"-",,"-",,"M",,"-",,"-",,"X"
"Maine State Police",,$46945,,$23420,,"X",,"X",,"H,S,M",,"X",,"-",,"X"
"Maryland State Police",,$79656,,$24555,,"-",,"-",,"H,S",,"-",,"-",,"X"
"Massachusetts State Police",,$64080,,$26100,,"X",,"X",,"S,E",,"-",,"-",,"X"
"Michigan State Police",,$87300,,$24263,,"X",,"X",,"H,S",,"-",,"-",,"X"
"Minnesota State Patrol",,$60000,,$26800,,"X",,"X",,"-",,"-",,"-",,"X"
"Mississippi Highway Safety Patrol",,"            ---",,"            ---",,"-",,"-",,"-",,"-",,"-",,"X"
"Missouri State Highway Patrol",,$40233,,$23863,,"-",,"-",,"-",,"-",,"-",,"X"
"Montana Highway Patrol",,$47761,,$22325,,"X",,"X",,"-",,"X",,"-",,"X"
"Nebraska State Patrol",,$52000,,$21489,,"X",,"X",,"-",,"-",,"-",,"-"
"Nevada Highway Patrol",,$42711,,$23230,,"-",,"-",,"H,S,M",,"-",,"-",,"X"
"New Hampshire State Police",,$62000,,$23700,,"X",,"X",,"-",,"-",,"-",,"X"
"New Jersey State Police",,$103752,,$29990,,"X",,"X",,"H,S",,"-",,"-",,"X"
"New Mexico State Police",,"            ---",,$19784,,"X",,"X",,"M",,"-",,"-",,"X"
"New York State Police",,$95635,,$24308,,"X",,"X",,"S,E",,"-",,"-",,"X"
"North Carolina State Highway Patrol",,$52227,,$23522,,"-",,"-",,"S,M",,"-",,"-",,"X"
"North Dakota Highway Patrol",,"            ---",,$23820,,"-",,"-",,"H,M",,"-",,"-",,"-"
"Ohio State Highway Patrol",,$49816,,$26021,,"X",,"X",,"H,S",,"-",,"X",,"X"
"Oklahoma Highway Patrol",,$54600,,$23220,,"X",,"X",,"S",,"-",,"-",,"X"
